Graduate Division,Promoting Graduate Education,https://graduate.ucr.edu/document/de-lals
Getting Your Visa,"*/ /*-->*/ Getting Your Visa The International Students and Scholars office helps visiting undergraduate and graduate students, researchers, and faculty secure and maintain visas as well as paths to permanent residency.",https://international.ucr.edu/students/getting-your-visa
Graduate Division,Promoting Graduate Education,https://graduate.ucr.edu/document/vra-fair-use-statement
Graduate Division,Promoting Graduate Education,https://graduate.ucr.edu/document/grad-students-guide-copyright
Graduate Division,Promoting Graduate Education,https://graduate.ucr.edu/document/copyright-ownership
Get Prepared for UCR,"*/ /*-->*/ Before Coming to UCR Welcome to UCR! We are looking forward to seeing you on campus. Before you start your journey to Riverside, please read the useful information below to get yourself prepared. If you have any questions, please do not hesitate to contact us.",https://international.ucr.edu/students/get-prepared-ucr
Resources for those impacted by current situation in Iran,"UCR students, faculty, and staff c",https://international.ucr.edu/news/2022/09/30/resources-those-impacted-current-situation-iran
International Affairs,The World at UCR,https://international.ucr.edu/document/j-1-request-approval-form
International Affairs,The World at UCR,https://international.ucr.edu/news
USCIS Announces Premium Processing for Certain F-1 Students Seeking OPT,The International Students and Scholars office would,https://international.ucr.edu/news/2023/03/07/uscis-announces-premium-processing-certain-f-1-students-seeking-opt
"Reminder for U.S. Passport Holders - ""X"" Gender Option",The UCR Education Abroad team wants to remind studen,https://international.ucr.edu/news/2023/03/01/reminder-us-passport-holders-x-gender-option
Winter 2021 Employee of the Quarter: Mely Fitzgerald, ,https://international.ucr.edu/news/winter-2021-employee-quarter-mely-fitzgerald
Situation in Afghanistan + UCR resources for students and scholars,"  Dear Campus Community,",https://international.ucr.edu/news/2021/08/18/situation-afghanistan-ucr-resources-students-and-scholars
Spring 2021 Employee of the Quarter: Macy Ring,International Affairs is proud to announce the Sprin,https://international.ucr.edu/news/spring-2021-employee-quarter-macy-ring
"Message to Deans, Faculty and Staff re: ICE announcement, July 7, 2020","Dear Colleagues,  ",https://international.ucr.edu/news/covid-19/message-deans-faculty-and-staff
"Message to current F-1 students from ISS office, July 8th, 2020","Dear F-1 Students,   ",https://international.ucr.edu/news/covid-19/message-to-f1-students
"Message from International Affairs/ISS to Deans, July 10, 2020","Dear UCR Community,   ",https://international.ucr.edu/news/covid-19/message-international-affairsiss-deans-july-10-2020
"UC statement on Department of Homeland Security reversal of international student visa order From UC Office of the President, July 14,2020",University of California Board of Regents Chair John,https://international.ucr.edu/ia-news/covid19/uc-statement-department-homeland-security-reversal-international-student-visa-order
Welcome to UCR Osher,"Osher Lifelong Learning Institute   Dear UCR Osher Members and friends of Osher, Welcome to Osher at UCR’s spring 2023 term. We’ve had our busiest season since March 2020 this past winter, and it has been an absolute joy to get to know you all more and watch you engage with one another. As always, I want to hear your feedback. Now, more than ever, is the time to reach out and share your ideas!",https://palmdesert.ucr.edu/welcome-ucr-osher
"UCR Faculty-Led Education Abroad Programs for Summer 2020 have been canceled due to Coronavirus (COVID-19), March 23, 2020",As the safety and well-being of students is our firs,https://international.ucr.edu/ia-news/ea/summer-2020-program-canceled
"Covid-19 Response: All International Affairs operations will be conducted remotely, March 15, 2020","Please note: In response to the March 14, 2020 camp",https://international.ucr.edu/ia-news/covid-19/office-operation-announcement
"Fall 2020 Update – sent to continuing international students from ISS, August 2, 2020","Dear continuing international students,",https://international.ucr.edu/ia-news/fall-2020-update-sent-continuing-international-students-iss-august-2
"Message from UCR Chancellor: UC Riverside supports international students, July 15, 2020","Dear Campus Community,  ",https://international.ucr.edu/news/2020/07/15/message-ucr-chancellor-uc-riverside-supports-international-students-july-15-2020
Changes in Practice for J-1 Scholar Processing Fees, ,https://international.ucr.edu/news/2021/09/09/changes-practice-j-1-scholar-processing-fees
"ISS Town Hall Discussion on COVID-19, CA Stay at Home Guidance, Travel, and Winter 2021",As students and scholars prepare for the Winter Brea,https://international.ucr.edu/ia-news/2020/12/8/ISS-town-hall
ISS Town Hall Discussion on Recent Violence Directed Toward Asians and Asian-Americans,Please join us for an end of-the-quarter ISS Town Ha,https://international.ucr.edu/news/2021/03/23/iss-town-hall
Meet the Education Abroad Student Team 2021 - 2022,Each year Education Abroad is lucky to work with a f,https://international.ucr.edu/news/2021/10/14/meet-ea-student-team-2021-2022
Celebrating Worldfest Fall 2021, ,https://international.ucr.edu/news/2021/10/26/celebrating-worldfest-fall-2021
Campus Interim Faculty Director - Education Abroad Job Announcement, ,https://international.ucr.edu/news/2021/11/15/campus-interim-faculty-director-education-abroad-job-announcement
Pay it Forward,"Giving Matters If you appreciate how the Osher Lifelong Learning Institute enriches your intellectual, social and cultural life, please consider donating to the UCR Osher program online. Your gift ensures that the program has the: •    resources to develop an annual Richard (Dick) Stein Lecture Series for the Coachella Valley •    capacity to develop new and creative learning experiences •    staff to support a growing membership and an exceptional instructor pool",https://palmdesert.ucr.edu/pay-it-forward
"Feed Your Mind, Body and Soul","What Osher Members Need to Know UCR Osher members are dynamic, engaging, and curious. They bring an eagerness to pursue personal learning through a mix of thought-provoking ideas, classes, lectures, discussions, special events and social activities. Members enjoy interacting with other like-minded mature adults 50 years and older as part of an active and vibrant community of lifelong learners and knowledge seekers.",https://palmdesert.ucr.edu/feed-your-mind-body-and-soul
Support UCR Palm Desert,Palm Desert Center Partners Make a Difference UCR’s Palm Desert Center is more than its physical location. It embodies all of what the Coachella Valley has to offer. It brings students and faculty together with members of the community to be inspired by the desert landscape and the majestic mountain peaks.,https://palmdesert.ucr.edu/support-ucr-palm-desert
Share Your Love of Lifelong Learning,"Why Teach an Osher Course The Osher program attracts current and retired faculty from University of California, Riverside, retired faculty from local and national colleges, and distinguished community leaders and other experts who enjoy sharing their knowledge and joy of teaching with our members. Classes are offered in Riverside at the UCR Extension University Village (EUV) and in the Coachella Valley at UCR Palm Desert Center.",https://palmdesert.ucr.edu/share-your-love-lifelong-learning
Become a Member,"What it Means to be an Osher Member UCR Osher members are dynamic, engaging, and curious. They bring an eagerness to pursue personal learning through a mix of thought-provoking ideas, classes, lectures, discussions, special events and social activities. They enjoy interacting with other like-minded mature adults. Members participate as part of an active and vibrant community of lifelong learners.",https://palmdesert.ucr.edu/become-member
Meeting Spaces,"Take care of business in state-of-the-art meeting spaces, comfortable conference rooms, a large auditorium or computer lab. Each room is equipped with the latest in technology. For rate information, including nonprofit rates, please contact us at (760) 834-0800.",https://palmdesert.ucr.edu/meeting-spaces
Facilities Rentals and Reservations,Facilities Rentals and Reservations,https://palmdesert.ucr.edu/facilities-rentals-and-reservations
Research,"The UC Mission: Teaching, Research and Public Service The University of California's storied history and mission of teachin",https://palmdesert.ucr.edu/research
Programs,"Programs that Make a Difference in Our Community UCR Palm Desert Center uses the power of education to illuminate the world. Our robust MFA program brings powerful storytelling out of the classroom and into a place where the work connects with others. Meanwhile, our other programs help students support, shape, and protect their communities",https://palmdesert.ucr.edu/programs
Events,"Events and Programs at UCR Palm Desert Join us for great lectures, films, and programs to interest, inspire, and intrigue inquisitive minds of all ages. Most events are held in our auditorium; exceptions are indicated below. RSVPs are highly encouraged. All pre-registered guests will be seated first.",https://palmdesert.ucr.edu/events-programs
Parking,"Students Permits can be purchased by e-mailing Paul Murie at paulm@ucr.edu. Permits can be paid by cash, Visa, MasterCard or Student Business services. Gold Permit Valid in Lot B all day; in Lot A after 4 p.m. only Quarterly permit: $129.00 Blue Permit Valid in Lot A or B all day Quarterly permit: $168 Visitors One Hour Spaces",https://palmdesert.ucr.edu/parking
Maps and Directions,Palm Desert Center Maps Download a printable map of UCR Palm Desert ,https://palmdesert.ucr.edu/maps-and-directions
Special Events,Coachella Valley Garden Day 9 a.m.,https://palmdesert.ucr.edu/special-events
Wild Coachella Lecture Series,This series investigates the history and habitat of the Coachella Valley and beyond. Each free lecture is open to the public.    ,https://palmdesert.ucr.edu/wild-coachella-lecture-series
UCR Jewish Studies,UCR Jewish Studies Lecture Series This series is presented by UCR Jewish Studies and Jewish Federation of the Desert. Each free lecture is open to the public.  This series will return in late 2022.  ,https://palmdesert.ucr.edu/ucr-jewish-studies
Public Art Documentary Series,"City of Palm Desert Public Art Documentary Series This series of documentary screenings is a partnership between UCR Palm Desert and the City of Palm Desert's Public Art Program, featuring the fascinating stories of artists and their memorable artworks. These free movies are open to the public.  Chihuly, Roll the Dice  6 p.m. Wednesday, Jan. 25",https://palmdesert.ucr.edu/public-art-documentary-series
Lit Flicks Film Series,A page-to-screen series  This summer series focuses on book-to-film selections. Viewers are encouraged to read the books and watch the films prior to each discussion. Registration is free. This series will return in 2023.,https://palmdesert.ucr.edu/lit-flicks-film-series
Are We Alone Lecture Series,"Are We Alone Lecture Series Timothy Lyons, distinguished professor of biogeochemistry in UCR's Department of Earth Sciences and director of the Alternative Earths Astrobiology Center, and his colleagues will discuss the search for alien life in the context of three different planets in our own solar system. Plus you'll learn more about the spacecraft that have explored where nothing from Earth had flown before. We are currently planning upcoming events for 2023.   ",https://palmdesert.ucr.edu/are-we-alone-lecture-series
Center for Ideas and Society,"UCR Center for Ideas and Society lecture series This series is part of UCR's Center for Ideas and Society ""top three"" series that engages public audiences in conversation with academics about some of the most influential works of all time.  This series will return in 2023.  ",https://palmdesert.ucr.edu/center-ideas-and-society
Deep Canyon Lecture Series,"Facilitated by Dr. Chris Tracy, Director of the UCR Boyd Deep Canyon Desert Research Center, each free presentation is designed to examine the world in new and surprising ways.    6 p.m. Jan. 12, 2023 Deep Canyon: A lens for understanding plant species range shifts in a warming world Tesa Madsen-Hepp, Dept. of Evolution Ecology and Organismal Biology, UC Riverside",https://palmdesert.ucr.edu/deep-canyon-lecture-series
Arts and Letters Lecture Series,"Arts & Letters is a free series that invites the community to spend time with today's most influential authors through interviews and personal readings. Conversations are facilitated by Tod Goldberg, the program director for UCR Palm Desert's Low-Residency MFA in Creative Writing and Writing for the Performing Arts. ",https://palmdesert.ucr.edu/arts-and-letters-lecture-series
About UCR Palm Desert,"The University of California has been active in the Coachella Valley for nearly 100 years, initially supporting the agriculture industry and more recently impacting modern growth iss",https://palmdesert.ucr.edu/about-ucr-palm-desert
PALM DESERT CENTER,LEARN. EXPLORE. DISCOVER.,https://palmdesert.ucr.edu/
Press Releases and Media,In the News Curative press release.pdf  ,https://palmdesert.ucr.edu/press-releases-and-media
Interning in Paris: Camila Nalvarte Ique interns with film industry in France,Education Abroad Student Spotlight: Camila N,https://international.ucr.edu/news/2021/11/29/interning-paris-camila-nalvarte-ique-interns-film-industry-france
Gilman Scholarship Winners for Winter & Spring 2022, ,https://international.ucr.edu/news/2021/12/16/gilman-scholarship-winners-winter-spring-2022
UCR Giving Tuesday 2021, ,https://international.ucr.edu/news/2021/12/07/ucr-giving-tuesday-2021
Reflections from Diversity Abroad's 2021 Global Student Leadership Summit, ,https://international.ucr.edu/news/2021/12/17/reflections-diversity-abroads-2021-global-student-leadership-summit
Robert McKee Appointed Interim Campus Faculty Director of Education Abroad,"  Dear Faculty Colleagues,",https://international.ucr.edu/news/2022/01/07/robert-mckee-appointed-interim-campus-faculty-director-education-abroad
War in Ukraine + UCR resources for students and scholars,"  Dear Campus Community,  ",https://international.ucr.edu/news/2022/03/07/war-ukraine-ucr-resources-students-and-scholars
International Affairs welcomes APRU Secretary General,UCR was honored to host two senior leaders from the,https://international.ucr.edu/news/2022/05/19/international-affairs-welcomes-apru-secretary-general
Director and Cultural Attaché of Egyptian Cultural and Educational Bureau visits UCR,"Professor Ali Massoud, director and cultural attaché",https://international.ucr.edu/news/2022/05/24/director-and-cultural-attache-egyptian-cultural-and-educational-bureau-visits-ucr
2022 Grants for Academic Integration of Education Abroad,A special announcement from International Affairs an,https://international.ucr.edu/news/2022/07/14/2022-grants-academic-integration-education-abroad
"ISS Update: Fall 2020 Government Guidance, July 10, 2020",We want to reassure you that the entire UCR communit,https://international.ucr.edu/news/covid-19/iss-update-fall-2020-government-guidance-july-10-2020
Suggestions for Student Success,While the world is still responding to the coronavir,https://international.ucr.edu/ia-news/iss/suggestionsforstudentsuccess
International Affairs Recognition Ceremony 2019 - 2020: Honoring Faculty and Staff,"Nominated by the campus community, the 2019 - 2020 I",https://international.ucr.edu/ia-news/IA-recognition-ceremony-2019-2020
Students Honored at International Affairs Recognition Ceremony,As mentioned in the,https://international.ucr.edu/news/2020/11/09/students-honored-international-affairs-recognition-ceremony
ISS Town Hall Discussion on Proposed Duration of Status Rule,The Department of Homeland Security has proposed a c,https://international.ucr.edu/ia-news/2020/10/30/iss-town-hall-discussion-proposed-duration-status-rule
Celebrating Halloween,"Halloween is tomorrow, October 31!",https://international.ucr.edu/ia-news/2020/10/27/celebrating-halloween
ISS Pre-Arrival Webinar for Incoming International Students (Winter 2021 Arrival),The ISS team hosted a Pre-Arrival Webinar for incomi,https://international.ucr.edu/ia-news/2020/iss-pre-arrival-webinar
Finals Week Tips,"Hello Highlanders. It’s finally week 10, the last we",https://international.ucr.edu/ia-news/2020/12/08/finals-week-tips
Fall 2020 Employee of the Quarter: David Dai,"As part of an ongoing strategy to build a healthy, i",https://international.ucr.edu/ia-news/fall-2020-employee-quarter-david-dai
